Concept	Weighting
LENC_593	752
LENC_594	751
LENC_595	751
LENC_596	750
LENC_597	747
LENC_598	739
LENC_599	733
LENC_600	732
LENC_601	721
LENC_602	717
LENC_603	708
LENC_604	707
LENC_605	706
LENC_606	706
LENC_607	705
LENC_608	704
LENC_609	704
LENC_610	701
LENC_611	697
LENC_612	697
LENC_613	691
LENC_614	690
LENC_615	687
LENC_616	674
LENC_617	671
LENC_618	668
LENC_619	661
LENC_620	659
LENC_621	658
LENC_622	656
LENC_623	653
LENC_624	642
LENC_625	640
LENC_626	630
LENC_627	629
LENC_628	628
LENC_629	627
LENC_630	626
LENC_631	619
LENC_632	615
LENC_633	614
LENC_634	600
LENC_635	600
LENC_636	600
LENC_637	598
LENC_638	596
LENC_639	590
LENC_640	589
LENC_641	587
LENC_642	583
LENC_643	576
LENC_644	573
LENC_645	573
LENC_646	570
LENC_647	570
LENC_648	565
LENC_649	562
LENC_650	561
LENC_651	558
LENC_652	556
LENC_653	555
LENC_654	554
LENC_655	553
LENC_656	550
LENC_657	548
LENC_658	548
LENC_659	544
LENC_660	541
LENC_661	539
LENC_662	538
LENC_663	536
LENC_664	529
LENC_665	527
LENC_666	524
LENC_667	522
LENC_668	517
LENC_669	516
LENC_670	515
LENC_671	512
LENC_672	512
LENC_673	511
LENC_674	509
LENC_675	508
LENC_676	508
LENC_677	507
LENC_678	495
LENC_679	494
LENC_680	491
LENC_681	490
LENC_682	489
LENC_683	489
LENC_684	489
LENC_685	484
LENC_686	484
LENC_687	483
LENC_688	483
LENC_689	482
LENC_690	482
LENC_691	478
LENC_692	477
LENC_693	476
LENC_694	475
LENC_695	469
LENC_696	468
LENC_697	464
LENC_698	463
LENC_699	461
LENC_700	461
LENC_701	460
LENC_702	459
LENC_703	457
LENC_704	450
LENC_705	450
LENC_706	450
LENC_707	447
LENC_708	446
LENC_709	442
LENC_710	440
LENC_711	437
LENC_712	437
LENC_713	436
LENC_714	436
LENC_715	432
LENC_716	432
LENC_717	431
LENC_718	426
LENC_719	426
LENC_720	417
LENC_721	417
LENC_722	415
LENC_723	410
LENC_724	408
LENC_725	407
LENC_726	405
LENC_727	400
LENC_728	400
LENC_729	400
LENC_730	398
LENC_731	397
LENC_732	394
LENC_733	394
LENC_734	392
LENC_735	390
LENC_736	390
LENC_737	388
LENC_738	387
LENC_739	386
LENC_740	386
LENC_741	384
LENC_742	383
LENC_743	383
LENC_744	382
LENC_745	381
LENC_746	381
LENC_747	380
LENC_748	378
LENC_749	377
LENC_750	376
LENC_751	375
LENC_752	375
LENC_753	374
LENC_754	373
LENC_755	371
LENC_756	370
LENC_757	370
LENC_758	368
LENC_759	367
LENC_760	366
LENC_761	366
LENC_762	365
LENC_763	362
LENC_764	362
LENC_765	362
LENC_766	361
LENC_767	360
LENC_768	360
LENC_769	359
LENC_770	359
LENC_771	356
LENC_772	354
LENC_773	348
LENC_774	347
LENC_775	347
LENC_776	347
LENC_777	346
LENC_778	346
LENC_779	345
LENC_780	343
LENC_781	343
LENC_782	340
LENC_783	340
LENC_784	340
LENC_785	338
LENC_786	338
LENC_787	338
LENC_788	337
LENC_789	335
LENC_790	333
LENC_791	332
LENC_792	330
LENC_793	330
LENC_794	329
LENC_795	329
LENC_796	328
LENC_797	328
LENC_798	327
LENC_799	327
LENC_800	326
LENC_801	324
LENC_802	323
LENC_803	322
LENC_804	319
LENC_805	319
LENC_806	319
LENC_807	316
LENC_808	314
LENC_809	313
LENC_810	313
LENC_811	313
LENC_812	312
LENC_813	312
LENC_814	312
LENC_815	306
LENC_816	306
LENC_817	304
LENC_818	303
LENC_819	302
LENC_820	301
LENC_821	301
LENC_822	301
LENC_823	301
LENC_824	300
LENC_825	295
LENC_826	295
LENC_827	295
LENC_828	295
LENC_829	295
LENC_830	295
LENC_831	294
LENC_832	293
LENC_833	293
LENC_834	293
LENC_835	292
LENC_836	292
LENC_837	291
LENC_838	291
LENC_839	287
LENC_840	287
LENC_841	286
LENC_842	285
LENC_843	284
LENC_844	283
LENC_845	283
LENC_846	283
LENC_847	282
LENC_848	282
LENC_849	280
LENC_850	280
LENC_851	278
LENC_852	278
LENC_853	277
LENC_854	277
LENC_855	275
LENC_856	275
LENC_857	274
LENC_858	273
LENC_859	272
LENC_860	271
LENC_861	271
LENC_862	269
LENC_863	268
LENC_864	267
LENC_865	267
LENC_866	267
LENC_867	267
LENC_868	266
LENC_869	266
LENC_870	265
LENC_871	264
LENC_872	264
LENC_873	264
LENC_874	264
LENC_875	261
LENC_876	260
LENC_877	259
LENC_878	258
LENC_879	258
LENC_880	258
LENC_881	256
LENC_882	256
LENC_883	256
LENC_884	255
LENC_885	254
LENC_886	254
LENC_887	251
LENC_888	251
LENC_889	251
LENC_890	250
LENC_891	250
LENC_892	250
LENC_893	250
LENC_894	250
LENC_895	250
LENC_896	249
LENC_897	247
LENC_898	246
LENC_899	246
LENC_900	244
LENC_901	244
LENC_902	243
LENC_903	243
LENC_904	239
LENC_905	239
LENC_906	239
LENC_907	238
LENC_908	238
LENC_909	238
LENC_910	236
LENC_911	236
LENC_912	236
LENC_913	235
LENC_914	235
LENC_915	234
LENC_916	234
LENC_917	234
LENC_918	234
LENC_919	233
LENC_920	233
LENC_921	233
LENC_922	233
LENC_923	232
LENC_924	232
LENC_925	231
LENC_926	231
LENC_927	231
LENC_928	231
LENC_929	230
LENC_930	230
LENC_931	229
LENC_932	229
LENC_933	227
LENC_934	227
LENC_935	226
LENC_936	226
LENC_937	226
LENC_938	225
LENC_939	225
LENC_940	225
LENC_941	222
LENC_942	222
LENC_943	222
LENC_944	221
LENC_945	221
LENC_946	220
LENC_947	220
LENC_948	219
LENC_949	217
LENC_950	217
LENC_951	216
LENC_952	216
LENC_953	215
LENC_954	215
LENC_955	215
LENC_956	214
LENC_957	214
LENC_958	212
LENC_959	211
LENC_960	211
LENC_961	211
LENC_962	211
LENC_963	210
LENC_964	210
LENC_965	209
LENC_966	209
LENC_967	208
LENC_968	205
LENC_969	204
LENC_970	204
LENC_971	203
LENC_972	202
LENC_973	202
LENC_974	201
LENC_975	201
LENC_976	200
LENC_977	200
LENC_978	199
LENC_979	197
LENC_980	197
LENC_981	197
LENC_982	197
LENC_983	196
LENC_984	196
LENC_985	196
LENC_986	196
LENC_987	196
LENC_988	196
LENC_989	195
LENC_990	194
LENC_991	194
LENC_992	191
LENC_993	189
LENC_994	187
LENC_995	187
LENC_996	186
LENC_997	186
LENC_998	184
LENC_999	184
LENC_1000	183
LENC_1001	183
LENC_1002	182
LENC_1003	182
LENC_1004	181
LENC_1005	181
LENC_1006	180
LENC_1007	180
LENC_1008	179
LENC_1009	179
LENC_1010	179
LENC_1011	179
LENC_1012	178
LENC_1013	178
LENC_1014	177
LENC_1015	177
LENC_1016	177
LENC_1017	176
LENC_1018	176
LENC_1019	176
LENC_1020	175
LENC_1021	175
LENC_1022	175
LENC_1023	175
LENC_1024	174
LENC_1025	174
LENC_1026	173
LENC_1027	173
LENC_1028	173
LENC_1029	172
LENC_1030	172
LENC_1031	172
LENC_1032	170
LENC_1033	169
LENC_1034	169
LENC_1035	169
LENC_1036	167
LENC_1037	166
LENC_1038	166
LENC_1039	165
LENC_1040	165
LENC_1041	165
LENC_1042	165
LENC_1043	165
LENC_1044	164
LENC_1045	163
LENC_1046	163
LENC_1047	161
LENC_1048	161
LENC_1049	160
LENC_1050	160
LENC_1051	159
LENC_1052	159
LENC_1053	159
LENC_1054	157
LENC_1055	157
LENC_1056	157
LENC_1057	156
LENC_1058	156
LENC_1059	155
LENC_1060	155
LENC_1061	155
LENC_1062	153
LENC_1063	153
LENC_1064	153
LENC_1065	153
LENC_1066	153
LENC_1067	153
LENC_1068	152
LENC_1069	152
LENC_1070	151
LENC_1071	151
LENC_1072	151
LENC_1073	151
LENC_1074	150
LENC_1075	150
LENC_1076	150
LENC_1077	150
LENC_1078	150
LENC_1079	149
LENC_1080	148
LENC_1081	148
LENC_1082	148
LENC_1083	148
LENC_1084	147
LENC_1085	147
LENC_1086	147
LENC_1087	147
LENC_1088	147
LENC_1089	146
LENC_1090	145
LENC_1091	145
LENC_1092	145
LENC_1093	145
LENC_1094	144
LENC_1095	144
LENC_1096	143
LENC_1097	143
LENC_1098	143
LENC_1099	143
LENC_1100	141
LENC_1101	141
LENC_1102	141
LENC_1103	140
LENC_1104	140
LENC_1105	140
LENC_1106	140
LENC_1107	140
LENC_1108	140
LENC_1109	139
LENC_1110	139
LENC_1111	138
LENC_1112	138
LENC_1113	137
LENC_1114	137
LENC_1115	137
LENC_1116	136
LENC_1117	136
LENC_1118	136
LENC_1119	136
LENC_1120	135
LENC_1121	135
LENC_1122	135
LENC_1123	135
LENC_1124	133
LENC_1125	133
LENC_1126	133
LENC_1127	132
LENC_1128	132
LENC_1129	131
LENC_1130	131
LENC_1131	130
LENC_1132	130
LENC_1133	130
LENC_1134	129
LENC_1135	129
LENC_1136	129
LENC_1137	129
LENC_1138	129
LENC_1139	129
LENC_1140	127
LENC_1141	127
LENC_1142	127
LENC_1143	126
LENC_1144	126
LENC_1145	126
LENC_1146	126
LENC_1147	125
LENC_1148	125
LENC_1149	125
LENC_1150	125
LENC_1151	123
LENC_1152	123
LENC_1153	123
LENC_1154	123
LENC_1155	123
